date,symbol,action,cand_H,level,qty,price,note,pnl
2020-09-05,TRX,LADDER_CREATE,0.0499,,,,,
2020-09-05,TRX,BUY,,0.44,1.0,0.027944000000000004,FILL,
2020-09-21,TRX,BUY,,0.48,1.0,0.025948000000000002,FILL,
2021-02-09,TRX,SELL,,0.44,1.0,0.04608,CYCLE_RESET,0.018136
2021-02-09,TRX,SELL,,0.48,1.0,0.04608,CYCLE_RESET,0.020132
2021-04-23,TRX,LADDER_CREATE,0.18,,,,,
2021-04-23,TRX,BUY,,0.44,1.0,0.1008,FILL,
2021-04-23,TRX,BUY,,0.48,1.0,0.0936,FILL,
2021-05-19,TRX,BUY,,0.54,1.0,0.08279999999999998,FILL,
2021-05-19,TRX,BUY,,0.59,1.0,0.0738,FILL,
2021-05-19,TRX,BUY,,0.65,1.0,0.063,FILL,
2021-06-22,TRX,BUY,,0.72,1.0,0.0504,FILL,
2021-08-14,TRX,SELL,,0.44,1.0,0.09264,CYCLE_RESET,-0.00816
2021-08-14,TRX,SELL,,0.48,1.0,0.09264,CYCLE_RESET,-0.0009600000000000025
2021-08-14,TRX,SELL,,0.54,1.0,0.09264,CYCLE_RESET,0.009840000000000015
2021-08-14,TRX,SELL,,0.59,1.0,0.09264,CYCLE_RESET,0.018839999999999996
2021-08-14,TRX,SELL,,0.65,1.0,0.09264,CYCLE_RESET,0.02964
2021-08-14,TRX,SELL,,0.72,1.0,0.09264,CYCLE_RESET,0.04224
2022-01-05,TRX,LADDER_CREATE,0.12933,,,,,
2022-01-05,TRX,BUY,,0.44,1.0,0.07242480000000001,FILL,
2022-01-07,TRX,BUY,,0.48,1.0,0.06725160000000001,FILL,
2022-01-22,TRX,BUY,,0.54,1.0,0.0594918,FILL,
2022-01-22,TRX,BUY,,0.59,1.0,0.053025300000000004,FILL,
2022-11-14,TRX,BUY,,0.65,1.0,0.0452655,FILL,
2023-07-22,TRX,SELL,,0.44,1.0,0.0839,CYCLE_RESET,0.011475199999999991
2023-07-22,TRX,SELL,,0.48,1.0,0.0839,CYCLE_RESET,0.016648399999999994
2023-07-22,TRX,SELL,,0.54,1.0,0.0839,CYCLE_RESET,0.024408200000000005
2023-07-22,TRX,SELL,,0.59,1.0,0.0839,CYCLE_RESET,0.030874699999999998
2023-07-22,TRX,SELL,,0.65,1.0,0.0839,CYCLE_RESET,0.0386345
2024-12-03,TRX,LADDER_CREATE,0.4495,,,,,
2024-12-03,TRX,BUY,,0.44,1.0,0.25172000000000005,FILL,
2024-12-03,TRX,BUY,,0.48,1.0,0.23374,FILL,
2024-12-04,TRX,SELL,,0.44,1.0,0.3306,CYCLE_RESET,0.07887999999999995
2024-12-04,TRX,SELL,,0.48,1.0,0.3306,CYCLE_RESET,0.09686
2024-12-09,TRX,LADDER_CREATE,0.45,,,,,
2024-12-09,TRX,BUY,,0.44,1.0,0.25200000000000006,FILL,
2024-12-20,TRX,BUY,,0.48,1.0,0.234,FILL,
2025-02-03,TRX,BUY,,0.54,1.0,0.207,FILL,
