symbol,last_price,mode,H,L,drawdown_from_H_pct,rebound_from_L_pct,notes
ADA,0.856,high,1.0193,0.51,-16.021,67.843,
AVAX,29.98,high,36.16,14.66,-17.091,104.502,
BCH,592.2,high,651.0,249.4,-9.032,137.45,
BNB,1296.6,high,1299.99,400.0,-0.261,224.15,
BTC,124350.01,high,126199.63,15476.0,-1.466,703.502,
DOGE,0.26089,high,0.30684,0.1427,-14.975,82.824,
ETH,4694.25,high,4956.78,1385.05,-5.296,238.923,
HBAR,0.22556,high,0.305,0.12488,-26.046,80.621,
LINK,22.84,high,27.87,10.1,-18.048,126.139,
LTC,118.1,high,134.19,63.08,-11.99,87.223,
SOL,230.39,high,253.51,95.26,-9.12,141.854,
SUI,3.5919,wait,4.2989,2.2937,-16.446,56.599,
TRX,0.3444,wait,0.45,0.2011,-23.467,71.258,
USDC,0.9991,wait,3.99,0.76,-74.96,31.461,
USDE,0.9996,none,,0.9886,,1.113,
USDS,0.9968,none,,0.9002,,10.731,
XLM,0.4002,high,0.5206,0.2001,-23.127,100.0,
XRP,2.9739,high,3.6607,1.6134,-18.761,84.325,
