date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-16,43.017,43.8,39.092,39.461,wait,False,,,,,,,,668.0,39.092,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,39.092
2020-10-17,39.371,43.235,38.206,41.365,wait,False,,,,,,,,668.0,38.206,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,38.206
2020-10-18,41.359,41.425,39.428,40.75,wait,False,,,,,,,,668.0,38.206,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,39.428
2020-10-19,40.82,41.0,35.912,35.98,wait,False,,,,,,,,668.0,35.912,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,35.912
2020-10-20,36.0,36.403,32.0,32.16,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,32.0
2020-10-21,32.186,37.145,32.0,35.073,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,32.0
2020-10-22,35.033,40.379,33.266,37.836,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,33.266
2020-10-23,37.911,42.658,36.998,41.681,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,36.998
2020-10-24,41.681,42.63,38.502,39.437,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,38.502
2020-10-25,39.438,41.0,37.2,37.895,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,37.2
2020-10-26,37.893,39.192,34.855,35.95,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,34.855
2020-10-27,35.968,39.001,34.373,34.869,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,34.373
2020-10-28,34.935,35.67,32.0,32.422,wait,False,,,,,,,,668.0,32.0,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,32.0
2020-10-29,32.427,33.23,28.124,29.244,wait,False,,,,,,,,668.0,28.124,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,28.124
2020-10-30,29.178,32.0,27.73,31.087,wait,False,,,,,,,,668.0,27.73,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,27.73
2020-10-31,31.087,32.938,29.515,29.7,wait,False,,,,,,,,668.0,27.73,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,29.515
2020-11-01,29.737,31.124,28.2,30.757,wait,False,,,,,,,,668.0,27.73,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,28.2
2020-11-02,30.703,34.485,29.13,29.724,wait,False,,,,,,,,668.0,27.73,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,29.13
2020-11-03,29.723,30.075,27.424,28.122,wait,False,,,,,,,,668.0,27.424,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,27.424
2020-11-04,28.142,28.444,26.065,27.686,wait,False,,,,,,,,668.0,26.065,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,26.065
2020-11-05,27.752,33.0,25.939,30.995,wait,False,,,,,,,,668.0,25.939,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,25.939
2020-11-06,30.997,41.0,30.843,38.65,wait,False,,,,,,,,668.0,25.939,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,30.843
2020-11-07,38.555,51.9,38.341,44.529,high,False,,RESTART_+98.5pct,HIGH,,,51.488915,,668.0,,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,
2020-11-07,38.555,51.9,38.341,44.529,wait,False,,RESTART_+98.5pct,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,38.341
2020-11-08,44.426,54.9,42.606,53.931,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,42.606
2020-11-09,53.95,59.094,49.45,55.113,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,49.45
2020-11-10,55.191,70.825,52.822,66.988,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,52.822
2020-11-11,67.066,69.26,53.295,54.437,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,53.295
2020-11-12,54.521,60.0,50.4,51.794,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,50.4
2020-11-13,51.759,66.888,51.045,63.456,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,51.045
2020-11-14,63.456,68.874,57.794,66.83,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,57.794
2020-11-15,66.855,71.414,58.766,64.256,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,58.766
2020-11-16,64.251,74.5,60.903,72.975,wait,False,,,,,,,,668.0,38.341,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,60.903
2020-11-17,72.958,80.0,68.515,79.263,high,False,,RESTART_+98.5pct,HIGH,,,76.106885,,668.0,,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,
2020-11-17,72.958,80.0,68.515,79.263,wait,False,,RESTART_+98.5pct,,,,,,668.0,68.515,,,7,374.08,347.36,307.28,273.88,233.8,187.04,140.28,,,,68.515
