date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2022-10-20,7.3219,7.748,6.9,7.3685,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,6.9
2022-10-21,7.3691,7.7,6.99,7.498,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,6.99
2022-10-22,7.498,9.3152,7.3411,8.9553,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,7.3411
2022-10-23,8.9571,10.33,8.8806,9.7815,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,8.8806
2022-10-24,9.7808,9.968,9.2354,9.5293,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,9.2354
2022-10-25,9.5298,9.568,8.5202,8.7863,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,8.5202
2022-10-26,8.7833,9.2863,8.6061,9.1951,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,8.6061
2022-10-27,9.1911,9.6387,8.6,8.7013,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,8.6
2022-10-28,8.7015,8.8264,7.9337,8.1845,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,7.9337
2022-10-29,8.1827,8.3692,7.592,7.9532,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,7.592
2022-10-30,7.958,8.38,7.6026,7.8049,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,7.6026
2022-10-31,7.8015,8.2211,7.7,7.9439,wait,False,,,,,,,,100.0,6.9,,,7,56.0,52.0,46.0,41.0,35.0,28.0,21.0,,,,7.7
