date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,222.98,236.44,221.23,233.95,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,221.23
2020-10-09,233.92,240.18,231.87,237.13,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,231.87
2020-10-10,237.14,246.45,235.73,237.26,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,235.73
2020-10-11,237.27,243.77,236.1,238.97,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,236.1
2020-10-12,238.97,243.99,232.7,239.66,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,232.7
2020-10-13,239.63,255.43,237.42,253.46,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,237.42
2020-10-14,253.37,260.48,249.75,259.07,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,249.75
2020-10-15,259.12,265.2,255.5,262.26,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,255.5
2020-10-16,262.25,266.54,243.51,250.3,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,243.51
2020-10-17,250.3,252.6,241.01,244.66,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,241.01
2020-10-18,244.66,251.01,243.64,249.32,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,243.64
2020-10-19,249.3,252.7,245.0,249.87,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,245.0
2020-10-20,249.82,250.05,237.67,240.74,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,237.67
2020-10-21,240.75,264.11,239.98,258.49,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,239.98
2020-10-22,258.38,274.65,258.26,267.97,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,258.26
2020-10-23,268.0,276.0,264.2,270.42,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,264.2
2020-10-24,270.39,278.63,267.6,275.8,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,267.6
2020-10-25,275.79,276.05,268.19,271.11,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,268.19
2020-10-26,271.07,273.31,252.61,259.36,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,252.61
2020-10-27,259.35,268.0,257.12,264.11,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,257.12
2020-10-28,264.08,280.98,258.33,268.06,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,258.33
2020-10-29,268.1,271.56,257.56,267.42,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,257.56
2020-10-30,267.35,270.62,254.98,261.9,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,254.98
2020-10-31,262.0,266.31,259.6,262.01,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,259.6
2020-11-01,262.0,270.83,260.16,268.03,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,260.16
2020-11-02,268.03,271.66,253.58,257.28,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,253.58
2020-11-03,257.31,258.81,230.0,244.22,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,230.0
2020-11-04,244.21,244.5,231.0,241.14,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,231.0
2020-11-05,241.14,252.0,240.34,249.53,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,240.34
2020-11-06,249.52,259.51,248.01,257.79,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,248.01
2020-11-07,257.78,277.06,245.11,253.91,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,245.11
2020-11-08,253.9,278.0,247.01,270.8,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,247.01
2020-11-09,270.73,274.24,257.44,264.27,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,257.44
2020-11-10,264.26,266.53,254.72,257.19,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,254.72
2020-11-11,257.19,262.5,255.16,256.86,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,255.16
2020-11-12,256.87,264.9,251.69,259.99,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,251.69
2020-11-13,260.01,262.5,247.91,259.22,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,247.91
2020-11-14,259.22,263.0,253.64,255.12,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,253.64
2020-11-15,255.13,260.29,235.0,240.43,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,235.0
2020-11-16,240.4,253.19,233.04,249.6,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,233.04
2020-11-17,249.67,259.62,248.25,255.39,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,248.25
2020-11-18,255.29,260.0,241.69,246.23,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,241.69
2020-11-19,246.27,250.03,241.23,245.88,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,241.23
2020-11-20,245.93,260.16,245.57,260.01,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,245.57
2020-11-21,260.0,309.35,256.09,305.06,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,256.09
2020-11-22,305.07,312.97,273.81,288.91,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,273.81
2020-11-23,288.95,327.12,282.33,323.22,wait,False,,,,,,,,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,282.33
2020-11-24,323.09,372.0,318.0,348.06,wait,True,7,BUY B7,LOW,B7,346.5,318.0,346.5,1650.0,221.23,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,B7,346.5,318.0
2020-11-24,323.09,372.0,318.0,348.06,wait,True,7,,,,,,,1650.0,221.23,68.150793,98.5,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,B7,346.5,318.0
2020-11-25,347.74,363.61,297.9,312.99,wait,True,7,,,,,,,1650.0,221.23,64.35836,98.5,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,B7,346.5,297.9
2020-11-26,312.86,321.5,250.4,271.44,wait,True,7,,,,,,,1650.0,221.23,45.323871,98.5,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,250.4
2020-11-27,271.49,279.11,255.57,265.45,wait,True,7,,,,,,,1650.0,221.23,26.162817,98.5,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,255.57
2020-11-28,265.55,284.98,260.74,275.97,wait,True,7,,,,,,,1650.0,221.23,28.816164,98.5,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,260.74
2020-11-29,275.98,289.1,272.0,285.04,wait,True,7,,,,,,,1650.0,221.23,30.678479,98.5,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,272.0
2020-11-30,285.17,322.37,280.07,317.49,wait,True,7,,,,,,,1650.0,221.23,45.717127,98.5,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,,,,280.07
