date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-18,30.2423,31.0354,30.165,30.6593,high,False,,,,,,,,31.0354,,,,7,17.379824,16.138408,14.276284,12.724514,10.86239,8.689912,6.517434,,B7,6.517434,30.165
2020-10-19,30.6568,30.6766,29.7002,29.9107,high,False,,,,,,,,30.6766,,,,7,17.178896,15.951832,14.111236,12.577406,10.73681,8.589448,6.442086,,B7,6.442086,29.7002
2020-10-20,29.9043,30.0892,28.5,28.8227,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,28.5
2020-10-21,28.8131,30.4074,28.6406,29.7329,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,28.6406
2020-10-22,29.7355,31.3,29.6655,30.6396,high,False,,,,,,,,31.3,,,,7,17.528,16.276,14.398,12.833,10.955,8.764,6.573,,B7,6.573,29.6655
2020-10-23,30.6334,31.2,30.0652,30.6377,high,False,,,,,,,,31.2,,,,7,17.472,16.224,14.352,12.792,10.92,8.736,6.552,,B7,6.552,30.0652
2020-10-24,30.6461,30.8781,30.4243,30.6639,high,False,,,,,,,,30.8781,,,,7,17.291736,16.056612,14.203926,12.660021,10.807335,8.645868,6.484401,,B7,6.484401,30.4243
2020-10-25,30.6522,30.9726,29.8805,30.128,high,False,,,,,,,,30.9726,,,,7,17.344656,16.105752,14.247396,12.698766,10.84041,8.672328,6.504246,,B7,6.504246,29.8805
2020-10-26,30.1342,31.43,29.96,31.0467,high,False,,,,,,,,31.43,,,,7,17.6008,16.3436,14.4578,12.8863,11.0005,8.8004,6.6003,,B7,6.6003,29.96
2020-10-27,31.0436,32.3788,30.9,31.4826,high,False,,,,,,,,32.3788,,,,7,18.132128,16.836976,14.894248,13.275308,11.33258,9.066064,6.799548,,B7,6.799548,30.9
2020-10-28,31.473,31.9375,29.8,30.3338,high,False,,,,,,,,31.9375,,,,7,17.885,16.6075,14.69125,13.094375,11.178125,8.9425,6.706875,,B7,6.706875,29.8
2020-10-29,30.3295,30.4272,29.47,29.8702,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,29.47
2020-10-30,29.8696,30.2596,27.5111,28.4909,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.5111
2020-10-31,28.4969,28.888,28.1132,28.5058,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,28.1132
2020-11-01,28.5058,28.679,28.0,28.5318,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,28.0
2020-11-02,28.5485,29.3079,27.7782,27.7983,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.7782
2020-11-03,27.7984,27.7984,25.7499,26.8638,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,25.7499
2020-11-04,26.8722,26.97,25.9,26.96,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,25.9
2020-11-05,26.9607,27.8947,26.6601,27.6875,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,26.6601
2020-11-06,27.686,29.4692,27.6668,29.0435,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.6668
2020-11-07,29.0391,29.899,26.85,27.7651,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,26.85
2020-11-08,27.7628,28.6943,27.449,28.4101,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.449
2020-11-09,28.4101,28.9691,27.3461,28.0941,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.3461
2020-11-10,28.0836,28.488,27.6114,28.2188,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.6114
2020-11-11,28.2183,28.5999,27.7966,28.016,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.7966
2020-11-12,28.0057,28.1599,27.3028,27.6874,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.3028
2020-11-13,27.7019,28.5198,27.5284,28.1974,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.5284
2020-11-14,28.1974,28.1974,27.3684,27.9311,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.3684
2020-11-15,27.9359,28.2332,27.07,27.6786,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.07
2020-11-16,27.6822,28.2202,27.4461,27.9451,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.4461
2020-11-17,27.9588,28.8,27.9262,28.5552,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.9262
2020-11-18,28.5552,28.838,27.5,28.0931,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.5
2020-11-19,28.1049,28.3666,27.6183,28.1387,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,27.6183
2020-11-20,28.1266,29.3516,28.0598,28.9715,high,False,,,,,,,,30.564,,,,7,17.11584,15.89328,14.05944,12.53124,10.6974,8.55792,6.41844,,B7,6.41844,28.0598
2020-11-21,28.9722,30.8,28.2955,30.5161,high,False,,,,,,,,30.8,,,,7,17.248,16.016,14.168,12.628,10.78,8.624,6.468,,B7,6.468,28.2955
2020-11-22,30.5168,31.12,29.0,30.0226,high,False,,,,,,,,31.12,,,,7,17.4272,16.1824,14.3152,12.7592,10.892,8.7136,6.5352,,B7,6.5352,29.0
