date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,10666.4,10950.0,10530.41,10925.57,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,10530.41
2020-10-09,10925.44,11104.64,10829.0,11050.64,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,10829.0
2020-10-10,11050.64,11491.0,11050.51,11293.22,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11050.51
2020-10-11,11293.22,11445.0,11221.0,11369.02,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11221.0
2020-10-12,11369.02,11720.01,11172.0,11528.25,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11172.0
2020-10-13,11528.24,11557.0,11300.0,11420.56,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11300.0
2020-10-14,11420.57,11547.98,11280.0,11417.89,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11280.0
2020-10-15,11417.89,11617.34,11250.83,11505.12,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11250.83
2020-10-16,11505.13,11541.15,11200.0,11319.32,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11200.0
2020-10-17,11319.24,11402.42,11255.0,11360.2,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11255.0
2020-10-18,11360.31,11505.0,11346.22,11503.14,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11346.22
2020-10-19,11503.14,11823.99,11407.96,11751.47,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11407.96
2020-10-20,11751.46,12038.38,11677.59,11909.99,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11677.59
2020-10-21,11910.0,13217.68,11886.95,12780.96,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,11886.95
2020-10-22,12780.75,13185.0,12678.08,12968.52,wait,False,,,,,,,,125708.42,10530.41,,,7,70396.7152,65368.3784,57825.8732,51540.4522,43997.947,35198.3576,26398.7682,,,,12678.08
