date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,3.8538,4.1625,3.6333,4.1163,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,3.6333
2020-10-09,4.1145,4.35,4.0087,4.2541,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,4.0087
2020-10-10,4.2546,4.489,4.23,4.2606,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,4.23
2020-10-11,4.2579,4.3355,4.1683,4.245,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,4.1683
2020-10-12,4.2464,4.4501,4.1899,4.3075,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,4.1899
2020-10-13,4.3099,4.3464,4.1302,4.2473,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,4.1302
2020-10-14,4.2515,4.3795,4.0836,4.1829,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,4.0836
2020-10-15,4.1816,4.1873,4.02,4.099,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,4.02
2020-10-16,4.099,4.1562,3.8,3.9106,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,3.8
2020-10-17,3.9132,3.9799,3.8607,3.9663,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,3.8607
2020-10-18,3.9652,4.125,3.954,4.1068,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,3.954
2020-10-19,4.107,4.1229,3.9501,3.986,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,3.9501
2020-10-20,3.9843,4.149,3.8641,3.9034,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,3.8641
2020-10-21,3.9034,4.26,3.8907,4.1352,wait,False,,,,,,,,55.09,3.6333,,,7,30.8504,28.6468,25.3414,22.5869,19.2815,15.4252,11.5689,,,,3.8907
