date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2024-04-03,0.775,1.32,0.703,1.134,wait,True,1,BUY B1,LOW,B1,0.85288,0.703,0.85288,1.523,0.703,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B1,0.85288,0.703
2024-04-03,0.775,1.32,0.703,1.134,wait,True,2,ADD B2,LOW,B2,0.79196,0.703,0.79196,1.523,0.703,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B2,0.79196,0.703
2024-04-03,0.775,1.32,0.703,1.134,wait,False,,SELL S,HIGH,,,0.824619,0.824619,1.523,0.703,,17.3,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.824619,,,
2024-04-03,0.775,1.32,0.703,1.134,wait,False,,,,,,,,1.523,0.703,87.766714,17.3,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.824619,B2,0.79196,0.703
2024-04-04,1.134,1.168,0.907,0.97,wait,False,,,,,,,,1.523,0.703,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.824619,B7,0.31983,0.907
2024-04-05,0.97,1.069,0.861,1.018,wait,False,,,,,,,,1.523,0.703,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.824619,B7,0.31983,0.861
2024-04-06,1.018,1.194,0.962,1.089,wait,False,,,,,,,,1.523,0.703,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.824619,B7,0.31983,0.962
2024-04-07,1.089,1.271,1.059,1.19,wait,False,,,,,,,,1.523,0.703,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.824619,B7,0.31983,1.059
2024-04-08,1.191,1.36,1.07,1.293,wait,False,,,,,,,,1.523,0.703,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.824619,B7,0.31983,1.07
2024-04-09,1.293,1.405,1.192,1.241,high,False,,RESTART_+98.5pct,HIGH,,,1.395455,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,,,
2024-04-09,1.293,1.405,1.192,1.241,high,False,,RESTART_+98.5pct,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,1.192
2024-04-10,1.241,1.51,1.223,1.461,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,1.223
2024-04-11,1.461,1.523,1.35,1.372,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,1.35
2024-04-12,1.372,1.484,1.08,1.278,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,1.08
2024-04-13,1.278,1.341,0.904,1.046,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,0.904
2024-04-14,1.047,1.22,0.986,1.209,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,0.986
2024-04-15,1.209,1.218,1.021,1.057,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,1.021
2024-04-16,1.056,1.08,0.891,0.979,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,0.891
2024-04-17,0.98,1.059,0.904,0.925,high,False,,,,,,,,1.523,,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B7,0.31983,0.904
2024-04-18,0.924,0.95,0.819,0.913,wait,True,1,BUY B1,LOW,B1,0.85288,0.819,0.85288,1.523,0.819,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,,B1,0.85288,0.819
2024-04-18,0.924,0.95,0.819,0.913,wait,False,,SELL S,HIGH,,,0.882063,0.882063,1.523,0.819,,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.882063,,,
2024-04-18,0.924,0.95,0.819,0.913,wait,False,,,,,,,,1.523,0.819,15.995116,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.882063,B1,0.85288,0.819
2024-04-19,0.913,1.044,0.816,0.968,wait,True,1,BUY B1,LOW,B1,0.85288,0.816,0.85288,1.523,0.816,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.882063,B1,0.85288,0.816
2024-04-19,0.913,1.044,0.816,0.968,wait,False,,SELL S,HIGH,,,0.878832,0.878832,1.523,0.816,,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,,,
2024-04-19,0.913,1.044,0.816,0.968,wait,False,,,,,,,,1.523,0.816,27.941176,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B1,0.85288,0.816
2024-04-20,0.969,1.121,0.948,1.083,wait,False,,,,,,,,1.523,0.816,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B7,0.31983,0.948
2024-04-21,1.082,1.108,1.025,1.05,wait,False,,,,,,,,1.523,0.816,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B7,0.31983,1.025
2024-04-22,1.05,1.1,1.026,1.05,wait,False,,,,,,,,1.523,0.816,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B7,0.31983,1.026
2024-04-23,1.05,1.068,0.931,0.939,wait,False,,,,,,,,1.523,0.816,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B7,0.31983,0.931
2024-04-24,0.938,0.985,0.86,0.874,wait,False,,,,,,,,1.523,0.816,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B7,0.31983,0.86
2024-04-25,0.874,0.906,0.833,0.871,wait,True,1,BUY B1,LOW,B1,0.85288,0.833,0.85288,1.523,0.816,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B1,0.85288,0.833
2024-04-25,0.874,0.906,0.833,0.871,wait,False,,SELL S,HIGH,,,0.878832,0.878832,1.523,0.816,,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,,,
2024-04-25,0.874,0.906,0.833,0.871,wait,False,,,,,,,,1.523,0.816,11.029412,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B1,0.85288,0.833
2024-04-26,0.871,0.887,0.812,0.824,wait,True,1,BUY B1,LOW,B1,0.85288,0.812,0.85288,1.523,0.812,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.878832,B1,0.85288,0.812
2024-04-26,0.871,0.887,0.812,0.824,wait,False,,SELL S,HIGH,,,0.874524,0.874524,1.523,0.812,,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.874524,,,
2024-04-26,0.871,0.887,0.812,0.824,wait,False,,,,,,,,1.523,0.812,9.236453,7.7,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.874524,B1,0.85288,0.812
2024-04-27,0.824,0.847,0.77,0.84,wait,True,2,BUY B2,LOW,B2,0.79196,0.77,0.79196,1.523,0.77,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.874524,B2,0.79196,0.77
2024-04-27,0.824,0.847,0.77,0.84,wait,True,2,,,,,,,1.523,0.77,10.0,17.3,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.874524,B2,0.79196,0.77
2024-04-28,0.841,0.896,0.832,0.849,wait,True,2,,,,,,,1.523,0.77,16.363636,17.3,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.874524,B1,0.85288,0.832
2024-04-29,0.848,0.944,0.775,0.926,wait,False,,SELL S,HIGH,,,0.90321,0.90321,1.523,0.77,,17.3,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.90321,,,
2024-04-29,0.848,0.944,0.775,0.926,wait,False,,,,,,,,1.523,0.77,22.597403,17.3,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.90321,B1,0.85288,0.775
2024-04-30,0.926,0.939,0.792,0.814,wait,True,1,BUY B1,LOW,B1,0.85288,0.792,0.85288,1.523,0.77,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.90321,B1,0.85288,0.792
2024-04-30,0.926,0.939,0.792,0.814,wait,False,,SELL S,HIGH,,,0.82929,0.82929,1.523,0.77,,7.7,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.82929,,,
2024-04-30,0.926,0.939,0.792,0.814,wait,False,,,,,,,,1.523,0.77,21.948052,7.7,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.82929,B7,0.31983,0.792
2024-05-01,0.814,0.831,0.735,0.798,wait,True,2,BUY B2,LOW,B2,0.79196,0.735,0.79196,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.82929,B2,0.79196,0.735
2024-05-01,0.814,0.831,0.735,0.798,wait,True,2,,,,,,,1.523,0.735,13.061224,17.3,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.82929,B2,0.79196,0.735
2024-05-02,0.799,0.832,0.765,0.798,wait,True,2,,,,,,,1.523,0.735,13.197279,17.3,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.82929,B2,0.79196,0.765
2024-05-03,0.797,0.878,0.783,0.852,wait,False,,SELL S,HIGH,,,0.862155,0.862155,1.523,0.735,,17.3,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.862155,,,
2024-05-03,0.797,0.878,0.783,0.852,wait,False,,,,,,,,1.523,0.735,19.455782,17.3,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.862155,B1,0.85288,0.783
2024-05-04,0.852,0.875,0.82,0.828,wait,True,1,BUY B1,LOW,B1,0.85288,0.82,0.85288,1.523,0.735,,,7,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.862155,B1,0.85288,0.82
2024-05-04,0.852,0.875,0.82,0.828,wait,False,,SELL S,HIGH,,,0.791595,0.852,1.523,0.735,,7.7,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,,,
2024-05-04,0.852,0.875,0.82,0.828,wait,False,,,,,,,,1.523,0.735,19.047619,7.7,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.82
2024-05-05,0.828,0.832,0.795,0.812,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.795
2024-05-06,0.813,0.936,0.81,0.892,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.81
2024-05-07,0.892,1.005,0.856,0.92,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.856
2024-05-08,0.92,0.953,0.855,0.874,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.855
2024-05-09,0.874,0.911,0.849,0.893,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.849
2024-05-10,0.894,0.938,0.824,0.847,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.824
2024-05-11,0.847,0.872,0.838,0.842,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.838
2024-05-12,0.841,0.854,0.819,0.83,wait,False,,,,,,,,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B7,0.31983,0.819
2024-05-13,0.83,0.836,0.755,0.768,wait,True,2,BUY B2,LOW,B2,0.79196,0.755,0.79196,1.523,0.735,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B2,0.79196,0.755
2024-05-13,0.83,0.836,0.755,0.768,wait,True,2,,,,,,,1.523,0.735,13.741497,17.3,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B2,0.79196,0.755
2024-05-14,0.767,0.774,0.672,0.693,wait,True,3,ADD B3,LOW,B3,0.70058,0.672,0.70058,1.523,0.672,,,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B3,0.70058,0.672
2024-05-14,0.767,0.774,0.672,0.693,wait,True,3,,,,,,,1.523,0.672,15.178571,24.4,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B3,0.70058,0.672
2024-05-15,0.694,0.749,0.666,0.734,wait,True,3,,,,,,,1.523,0.666,12.462462,24.4,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B3,0.70058,0.666
2024-05-16,0.735,0.754,0.653,0.671,wait,True,3,,,,,,,1.523,0.653,15.467075,24.4,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B3,0.70058,0.653
2024-05-17,0.672,0.749,0.669,0.719,wait,True,3,,,,,,,1.523,0.653,14.701378,24.4,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B3,0.70058,0.669
2024-05-18,0.72,0.795,0.703,0.754,wait,True,3,,,,,,,1.523,0.653,21.745789,24.4,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B2,0.79196,0.703
2024-05-19,0.753,0.758,0.697,0.713,wait,True,3,,,,,,,1.523,0.653,16.079632,24.4,6,0.85288,0.79196,0.70058,0.62443,0.53305,0.42644,0.31983,0.852,B3,0.70058,0.697
