date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,5.1736,5.2533,5.08,5.1745,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.08
2020-10-09,5.1745,5.3206,5.1177,5.2674,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.1177
2020-10-10,5.2673,5.4278,5.2513,5.2712,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.2513
2020-10-11,5.2726,5.45,5.2467,5.428,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.2467
2020-10-12,5.4272,5.5309,5.3845,5.4483,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.3845
2020-10-13,5.4476,5.5067,5.2941,5.3502,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.2941
2020-10-14,5.35,5.4457,5.313,5.3812,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.313
2020-10-15,5.3822,5.4231,5.2952,5.3321,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.2952
2020-10-16,5.3305,5.3633,5.1275,5.1737,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.1275
2020-10-17,5.1747,5.2591,5.1417,5.1938,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.1417
2020-10-18,5.1925,5.2599,5.1773,5.2282,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.1773
2020-10-19,5.2266,5.2924,5.1576,5.2086,wait,False,,,,,,,,179.83,5.08,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.1576
2020-10-20,5.2104,5.25,5.0462,5.0807,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.0462
2020-10-21,5.0824,5.393,5.0558,5.3379,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.0558
2020-10-22,5.3389,5.73,5.3369,5.612,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.3369
2020-10-23,5.6062,5.6496,5.4,5.482,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.4
2020-10-24,5.4811,5.5671,5.4463,5.529,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.4463
2020-10-25,5.5277,5.6492,5.4327,5.5585,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.4327
2020-10-26,5.5559,5.6165,5.4,5.435,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.4
2020-10-27,5.4346,5.5354,5.4054,5.4582,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.4054
2020-10-28,5.4585,5.592,5.226,5.2714,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.226
2020-10-29,5.271,5.5078,5.2166,5.4065,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.2166
2020-10-30,5.4065,5.472,5.1807,5.2584,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.1807
2020-10-31,5.2579,5.3296,5.2076,5.2734,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.2076
2020-11-01,5.2721,5.2966,5.1718,5.2434,wait,False,,,,,,,,179.83,5.0462,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,5.1718
2020-11-02,5.2442,5.2883,4.9378,4.9961,wait,False,,,,,,,,179.83,4.9378,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,4.9378
2020-11-03,4.9959,5.1819,4.6943,4.8866,wait,False,,,,,,,,179.83,4.6943,,,7,100.7048,93.5116,82.7218,73.7303,62.9405,50.3524,37.7643,,,,4.6943
