date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,341.58,353.32,334.21,350.95,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,334.21
2020-10-09,350.94,368.33,347.32,365.02,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,347.32
2020-10-10,365.01,378.4,364.71,370.52,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,364.71
2020-10-11,370.51,377.6,368.87,374.16,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,368.87
2020-10-12,374.17,394.8,365.58,386.51,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,365.58
2020-10-13,386.51,387.75,374.51,381.04,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,374.51
2020-10-14,381.05,387.41,373.13,378.69,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,373.13
2020-10-15,378.69,381.79,369.85,377.64,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,369.85
2020-10-16,377.63,379.83,361.18,365.5,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,361.18
2020-10-17,365.5,370.46,363.36,368.32,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,363.36
2020-10-18,368.31,378.64,367.1,378.11,wait,False,,,,,,,,4956.78,334.21,,,7,2775.7968,2577.5256,2280.1188,2032.2798,1734.873,1387.8984,1040.9238,,,,367.1
