date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,46.56,47.5,45.45,47.21,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,45.45
2020-10-09,47.21,48.2,46.59,47.78,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,46.59
2020-10-10,47.78,50.46,47.76,48.88,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,47.76
2020-10-11,48.89,51.27,48.66,50.48,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,48.66
2020-10-12,50.48,51.5,49.24,50.58,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,49.24
2020-10-13,50.58,50.71,48.8,49.89,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,48.8
2020-10-14,49.9,51.04,49.27,49.79,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,49.27
2020-10-15,49.79,50.24,48.8,49.53,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,48.8
2020-10-16,49.52,49.84,45.6,47.6,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,45.6
2020-10-17,47.61,47.64,46.28,46.93,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,46.28
2020-10-18,46.92,47.98,46.78,47.54,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,46.78
2020-10-19,47.54,48.44,46.8,47.99,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,46.8
2020-10-20,47.99,48.46,46.36,46.88,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,46.36
2020-10-21,46.88,55.0,46.85,52.98,wait,False,,,,,,,,413.49,45.45,,,7,231.5544,215.0148,190.2054,169.5309,144.7215,115.7772,86.8329,,,,46.85
