date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-05-06,3.73e-06,3.85e-06,2.29e-06,2.63e-06,wait,False,,,,,,,,2.836e-05,2.29e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,2.29e-06
2023-05-07,2.63e-06,3.1e-06,2.41e-06,2.79e-06,wait,False,,,,,,,,2.836e-05,2.29e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,2.41e-06
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,False,,,,,,,,2.836e-05,1.54e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.54e-06
2023-05-09,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,False,,,,,,,,2.836e-05,1.54e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.73e-06
2023-05-10,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,False,,,,,,,,2.836e-05,1.54e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.69e-06
2023-05-11,1.93e-06,1.94e-06,1.25e-06,1.4e-06,wait,False,,,,,,,,2.836e-05,1.25e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.25e-06
2023-05-12,1.4e-06,1.9e-06,1.05e-06,1.75e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.05e-06
2023-05-13,1.75e-06,2.08e-06,1.54e-06,1.87e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.54e-06
2023-05-14,1.87e-06,1.95e-06,1.74e-06,1.78e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.74e-06
2023-05-15,1.79e-06,1.79e-06,1.61e-06,1.73e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.61e-06
2023-05-16,1.73e-06,1.82e-06,1.64e-06,1.67e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.64e-06
2023-05-17,1.67e-06,1.69e-06,1.46e-06,1.57e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.46e-06
2023-05-18,1.58e-06,1.64e-06,1.5e-06,1.59e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.5e-06
2023-05-19,1.58e-06,1.59e-06,1.47e-06,1.53e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.47e-06
2023-05-20,1.52e-06,1.93e-06,1.5e-06,1.72e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.5e-06
2023-05-21,1.71e-06,1.76e-06,1.56e-06,1.59e-06,wait,False,,,,,,,,2.836e-05,1.05e-06,,,7,1.58816e-05,1.47472e-05,1.30456e-05,1.16276e-05,9.926e-06,7.9408e-06,5.9556e-06,,,,1.56e-06
