date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2024-09-14,0.4108,0.424,0.398,0.4058,wait,True,4,BUY B4,LOW,B4,0.41,0.398,0.41,1.0,0.398,,,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B4,0.41,0.398
2024-09-14,0.4108,0.424,0.398,0.4058,wait,True,4,,,,,,,1.0,0.398,6.532663,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B4,0.41,0.398
2024-09-15,0.4058,0.4083,0.3866,0.3887,wait,True,4,,,,,,,1.0,0.3866,5.613037,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3866
2024-09-16,0.3888,0.3925,0.3723,0.3759,wait,True,4,,,,,,,1.0,0.3723,5.425732,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3723
2024-09-17,0.3759,0.3907,0.3738,0.3816,wait,True,4,,,,,,,1.0,0.3723,4.942251,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3738
2024-09-18,0.3816,0.3902,0.3722,0.3902,wait,True,4,,,,,,,1.0,0.3722,4.83611,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3722
2024-09-19,0.3901,0.4021,0.3887,0.3991,wait,True,4,,,,,,,1.0,0.3722,8.033315,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3887
2024-09-20,0.3991,0.4099,0.3932,0.4014,wait,True,4,,,,,,,1.0,0.3722,10.128963,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3932
2024-09-21,0.4014,0.4117,0.396,0.4115,wait,True,4,,,,,,,1.0,0.3722,10.612574,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B4,0.41,0.396
2024-09-22,0.4115,0.4115,0.3926,0.401,wait,True,4,,,,,,,1.0,0.3722,10.558839,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B4,0.41,0.3926
2024-09-23,0.401,0.4081,0.3941,0.4059,wait,True,4,,,,,,,1.0,0.3722,9.645352,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3941
2024-09-24,0.4059,0.4098,0.399,0.4092,wait,True,4,,,,,,,1.0,0.3722,10.102096,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.399
2024-09-25,0.4092,0.419,0.404,0.4095,wait,True,4,,,,,,,1.0,0.3722,12.573885,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B4,0.41,0.404
2024-09-26,0.4095,0.4323,0.4028,0.4257,wait,True,4,,,,,,,1.0,0.3722,16.147233,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B4,0.41,0.4028
2024-09-27,0.4256,0.4383,0.4235,0.4336,wait,True,4,,,,,,,1.0,0.3722,17.759269,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.4235
2024-09-28,0.4335,0.4375,0.4174,0.424,wait,True,4,,,,,,,1.0,0.3722,17.544331,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.4174
2024-09-29,0.424,0.426,0.4135,0.4212,wait,True,4,,,,,,,1.0,0.3722,14.454594,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.4135
2024-09-30,0.4213,0.4222,0.3933,0.3961,wait,True,4,,,,,,,1.0,0.3722,13.433638,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B4,0.41,0.3933
2024-10-01,0.3962,0.4057,0.366,0.3759,wait,True,4,,,,,,,1.0,0.366,10.846995,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.366
2024-10-02,0.3759,0.3873,0.3677,0.3734,wait,True,4,,,,,,,1.0,0.366,5.819672,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3677
2024-10-03,0.3733,0.3791,0.365,0.3757,wait,True,4,,,,,,,1.0,0.365,3.863014,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.365
2024-10-04,0.3758,0.3863,0.3749,0.3838,wait,True,4,,,,,,,1.0,0.365,5.835616,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3749
2024-10-05,0.3839,0.3859,0.3759,0.3794,wait,True,4,,,,,,,1.0,0.365,5.726027,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3759
2024-10-06,0.3794,0.3853,0.3772,0.3829,wait,True,4,,,,,,,1.0,0.365,5.561644,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3772
2024-10-07,0.3828,0.39,0.3729,0.3742,wait,True,4,,,,,,,1.0,0.365,6.849315,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3729
2024-10-08,0.3743,0.3798,0.3704,0.3765,wait,True,4,,,,,,,1.0,0.365,4.054795,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3704
2024-10-09,0.3766,0.381,0.3611,0.3669,wait,True,4,,,,,,,1.0,0.3611,5.510939,37.4,7,0.56,0.52,0.46,0.41,0.35,0.28,0.21,,B7,0.21,0.3611
