date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-18,2.2031,2.2595,2.1763,2.215,high,False,,,,,,,,2.2595,,,,7,1.26532,1.17494,1.03937,0.926395,0.790825,0.63266,0.474495,,B7,0.474495,2.1763
2020-10-19,2.2137,2.2148,2.05,2.0592,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,2.05
2020-10-20,2.0552,2.108,1.8401,1.885,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.8401
2020-10-21,1.8873,2.11,1.8415,1.8887,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.8415
2020-10-22,1.8868,2.09,1.8481,1.9582,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.8481
2020-10-23,1.9566,1.9902,1.85,1.959,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.85
2020-10-24,1.9652,1.973,1.88,1.9142,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.88
2020-10-25,1.9175,1.9244,1.76,1.7926,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.76
2020-10-26,1.7925,1.8685,1.6121,1.6799,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.6121
2020-10-27,1.6771,1.75,1.5906,1.711,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.5906
2020-10-28,1.7084,1.7255,1.4508,1.518,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.4508
2020-10-29,1.5166,1.5754,1.4148,1.4327,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.4148
2020-10-30,1.4328,1.4726,1.3163,1.4381,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.3163
2020-10-31,1.4383,1.558,1.4266,1.5497,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.4266
2020-11-01,1.5497,1.6463,1.5137,1.608,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.5137
2020-11-02,1.6076,1.6432,1.4621,1.4738,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.4621
2020-11-03,1.4729,1.484,1.4062,1.4118,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.4062
2020-11-04,1.4123,1.4144,1.2733,1.3912,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.2733
2020-11-05,1.3895,1.4928,1.3,1.4007,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.3
2020-11-06,1.403,1.9482,1.3946,1.9,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.3946
2020-11-07,1.9069,2.4975,1.8276,2.0215,high,False,,,,,,,,2.4975,,,,7,1.3986,1.2987,1.14885,1.023975,0.874125,0.6993,0.524475,,B7,0.524475,1.8276
2020-11-08,2.0264,2.2825,1.9608,2.1558,high,False,,,,,,,,2.2825,,,,7,1.2782,1.1869,1.04995,0.935825,0.798875,0.6391,0.479325,,B7,0.479325,1.9608
2020-11-09,2.1515,2.1991,1.9456,2.0299,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.9456
2020-11-10,2.0383,2.3257,2.008,2.2661,high,False,,,,,,,,2.3257,,,,7,1.302392,1.209364,1.069822,0.953537,0.813995,0.651196,0.488397,,B7,0.488397,2.008
2020-11-11,2.2665,2.3,1.9673,2.0,high,False,,,,,,,,2.3,,,,7,1.288,1.196,1.058,0.943,0.805,0.644,0.483,,B7,0.483,1.9673
2020-11-12,2.0,2.06,1.825,1.9089,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.825
2020-11-13,1.9089,2.0808,1.8997,2.0141,high,False,,,,,,,,2.2462,,,,7,1.257872,1.168024,1.033252,0.920942,0.78617,0.628936,0.471702,,B7,0.471702,1.8997
