date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,2.9629,3.4654,2.6428,3.3499,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.6428
2020-10-09,3.3499,3.6,3.1749,3.3834,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.1749
2020-10-10,3.38,3.6578,3.2664,3.2989,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.2664
2020-10-11,3.2956,3.451,3.1776,3.3626,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.1776
2020-10-12,3.36,3.5994,3.282,3.4599,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.282
2020-10-13,3.4554,3.5,3.2931,3.3546,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.2931
2020-10-14,3.3511,3.44,2.97,3.1123,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.97
2020-10-15,3.1105,3.1674,2.915,3.0793,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.915
2020-10-16,3.0765,3.3803,2.8813,3.0426,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.8813
2020-10-17,3.0436,3.1249,2.9703,3.0566,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.9703
2020-10-18,3.0574,3.291,3.0472,3.2811,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.0472
2020-10-19,3.2797,3.2885,3.11,3.1703,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.11
2020-10-20,3.1703,3.191,2.8008,2.8582,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.8008
2020-10-21,2.8582,3.0884,2.8389,2.9371,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.8389
2020-10-22,2.9359,3.1484,2.9194,3.0432,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.9194
2020-10-23,3.0418,3.1219,2.9621,3.011,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.9621
2020-10-24,3.0123,3.085,2.9272,2.9399,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.9272
2020-10-25,2.939,2.966,2.7101,2.7726,wait,False,,,,,,,,45.0,2.6428,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.7101
2020-10-26,2.7717,2.878,2.52,2.7114,wait,False,,,,,,,,45.0,2.52,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.52
2020-10-27,2.7109,2.9131,2.6992,2.8096,wait,False,,,,,,,,45.0,2.52,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.6992
2020-10-28,2.8086,2.8593,2.5952,2.6611,wait,False,,,,,,,,45.0,2.52,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.5952
2020-10-29,2.6594,2.7395,2.4864,2.5391,wait,False,,,,,,,,45.0,2.4864,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.4864
2020-10-30,2.5388,2.5663,2.233,2.4134,wait,False,,,,,,,,45.0,2.233,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.233
2020-10-31,2.4136,2.4138,2.24,2.2662,wait,False,,,,,,,,45.0,2.233,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.24
2020-11-01,2.2648,2.4537,2.219,2.3765,wait,False,,,,,,,,45.0,2.219,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.219
2020-11-02,2.3764,2.4541,2.2228,2.254,wait,False,,,,,,,,45.0,2.219,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.2228
2020-11-03,2.2526,2.281,2.0554,2.138,wait,False,,,,,,,,45.0,2.0554,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.0554
2020-11-04,2.136,2.1664,1.8758,1.9281,wait,False,,,,,,,,45.0,1.8758,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,1.8758
2020-11-05,1.9271,2.431,1.7563,2.1901,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,1.7563
2020-11-06,2.1892,2.6877,2.1735,2.5657,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.1735
2020-11-07,2.5681,3.0287,2.422,2.4755,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.422
2020-11-08,2.4755,2.9229,2.4317,2.8653,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.4317
2020-11-09,2.8625,2.8785,2.5731,2.6822,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.5731
2020-11-10,2.6792,3.1766,2.6267,3.0759,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.6267
2020-11-11,3.0772,3.2161,2.8721,2.9308,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.8721
2020-11-12,2.9309,3.1387,2.8333,2.9582,wait,False,,,,,,,,45.0,1.7563,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.8333
2020-11-13,2.9594,3.9859,2.935,3.8614,high,False,,RESTART_+98.5pct,HIGH,,,3.4862555,,45.0,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,
2020-11-13,2.9594,3.9859,2.935,3.8614,wait,False,,RESTART_+98.5pct,,,,,,45.0,2.935,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,2.935
2020-11-14,3.8578,3.968,3.5113,3.8165,wait,False,,,,,,,,45.0,2.935,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.5113
2020-11-15,3.8127,4.2497,3.6143,3.8458,wait,False,,,,,,,,45.0,2.935,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.6143
2020-11-16,3.8471,3.95,3.45,3.5634,wait,False,,,,,,,,45.0,2.935,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.45
2020-11-17,3.5618,3.8732,3.476,3.8104,wait,False,,,,,,,,45.0,2.935,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,,,,3.476
