date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell
2025-05-03,3.4259,3.4637,3.265,3.3351,wait,False,,,,,,,,3.875,,,,7
2025-05-04,3.3353,3.36,3.1548,3.2747,wait,False,,,,,,,,3.875,,,,7
2025-05-05,3.2748,3.4942,3.2109,3.4234,wait,False,,,,,,,,3.875,,,,7
2025-05-06,3.4231,3.4277,3.12,3.3458,wait,False,,,,,,,,3.875,,,,7
2025-05-07,3.3461,3.4467,3.2333,3.3314,wait,False,,,,,,,,3.875,,,,7
2025-05-08,3.3308,4.1,3.3157,4.0335,wait,False,,,,,,,,3.875,,,,7
2025-05-09,4.0332,4.0771,3.8141,3.9504,wait,False,,,,,,,,3.875,,,,7
2025-05-10,3.9503,4.158,3.833,4.1214,wait,False,,,,,,,,3.875,,,,7
2025-05-11,4.1213,4.274,3.8902,4.0175,wait,False,,,,,,,,3.875,,,,7
2025-05-12,4.0176,4.2989,3.808,3.9632,wait,False,,,,,,,,3.875,,,,7
2025-05-13,3.9632,4.1139,3.815,4.0632,wait,False,,,,,,,,3.875,,,,7
2025-05-14,4.0631,4.0834,3.8523,3.9152,wait,False,,,,,,,,3.875,,,,7
2025-05-15,3.9154,3.96,3.6358,3.8486,wait,False,,,,,,,,3.875,,,,7
2025-05-16,3.8487,3.9513,3.7186,3.7802,wait,False,,,,,,,,3.875,,,,7
2025-05-17,3.7802,3.863,3.672,3.8018,wait,False,,,,,,,,3.875,,,,7
2025-05-18,3.8016,4.0051,3.6888,3.9423,wait,False,,,,,,,,3.875,,,,7
2025-05-19,3.9423,3.9725,3.5842,3.8373,wait,False,,,,,,,,3.875,,,,7
2025-05-20,3.8375,3.941,3.7802,3.8542,wait,False,,,,,,,,3.875,,,,7
2025-05-21,3.8543,4.0685,3.7974,3.9286,wait,False,,,,,,,,3.875,,,,7
2025-05-22,3.9289,4.2,3.6589,3.8898,wait,False,,,,,,,,3.875,,,,7
2025-05-23,3.8898,3.9599,3.5293,3.5816,wait,False,,,,,,,,3.875,,,,7
2025-05-24,3.5813,3.6963,3.5666,3.6258,wait,False,,,,,,,,3.875,,,,7
2025-05-25,3.6258,3.6664,3.4274,3.6005,wait,False,,,,,,,,3.875,,,,7
2025-05-26,3.6005,3.6615,3.454,3.4899,wait,False,,,,,,,,3.875,,,,7
2025-05-27,3.49,3.735,3.4041,3.6722,wait,False,,,,,,,,3.875,,,,7
2025-05-28,3.6722,3.7448,3.4807,3.605,wait,False,,,,,,,,3.875,,,,7
2025-05-29,3.6052,3.7508,3.5015,3.5254,wait,False,,,,,,,,3.875,,,,7
2025-05-30,3.5255,3.5508,3.1702,3.1881,wait,False,,,,,,,,3.875,,,,7
2025-05-31,3.1878,3.3133,3.053,3.2457,wait,False,,,,,,,,3.875,,,,7
2025-06-01,3.2457,3.3649,3.1857,3.343,wait,False,,,,,,,,3.875,,,,7
2025-06-02,3.3431,3.3701,3.2237,3.3309,wait,False,,,,,,,,3.875,,,,7
2025-06-03,3.3308,3.3911,3.2155,3.2512,wait,False,,,,,,,,3.875,,,,7
2025-06-04,3.2512,3.2923,3.1553,3.1632,wait,False,,,,,,,,3.875,,,,7
2025-06-05,3.1632,3.23,2.8467,2.9208,wait,False,,,,,,,,3.875,,,,7
2025-06-06,2.9208,3.2214,2.915,3.1939,wait,False,,,,,,,,3.875,,,,7
2025-06-07,3.1938,3.3131,3.1702,3.2427,wait,False,,,,,,,,3.875,,,,7
2025-06-08,3.2427,3.2822,3.179,3.2232,wait,False,,,,,,,,3.875,,,,7
2025-06-09,3.223,3.4687,3.1828,3.4483,wait,False,,,,,,,,3.875,,,,7
2025-06-10,3.4484,3.5597,3.3646,3.4928,wait,False,,,,,,,,3.875,,,,7
2025-06-11,3.4927,3.5285,3.3387,3.3947,wait,False,,,,,,,,3.875,,,,7
2025-06-12,3.3949,3.3998,3.1832,3.2078,wait,False,,,,,,,,3.875,,,,7
2025-06-13,3.2078,3.2105,2.9186,3.0758,wait,False,,,,,,,,3.875,,,,7
2025-06-14,3.0759,3.0774,2.8051,2.947,wait,False,,,,,,,,3.875,,,,7
2025-06-15,2.9471,3.043,2.9433,3.0233,wait,False,,,,,,,,3.875,,,,7
2025-06-16,3.0234,3.1589,2.9283,2.9962,wait,False,,,,,,,,3.875,,,,7
2025-06-17,2.9963,3.0569,2.8028,2.8326,wait,False,,,,,,,,3.875,,,,7
2025-06-18,2.8326,2.9181,2.68,2.828,wait,False,,,,,,,,3.875,,,,7
2025-06-19,2.8281,2.8679,2.7842,2.8287,wait,False,,,,,,,,3.875,,,,7
2025-06-20,2.8288,2.8852,2.65,2.7163,wait,False,,,,,,,,3.875,,,,7
2025-06-21,2.7164,2.7543,2.4568,2.5689,wait,False,,,,,,,,3.875,,,,7
2025-06-22,2.5689,2.6164,2.2937,2.4495,wait,False,,,,,,,,3.875,,,,7
2025-06-23,2.4495,2.8562,2.3925,2.8276,wait,False,,,,,,,,3.875,,,,7
2025-06-24,2.8277,2.9131,2.7331,2.7984,wait,False,,,,,,,,3.875,,,,7
2025-06-25,2.7984,2.8449,2.7026,2.7316,wait,False,,,,,,,,3.875,,,,7
2025-06-26,2.732,2.8053,2.5501,2.6012,wait,False,,,,,,,,3.875,,,,7
2025-06-27,2.6013,2.7958,2.5806,2.7213,wait,False,,,,,,,,3.875,,,,7
2025-06-28,2.7214,2.8439,2.6794,2.8018,wait,False,,,,,,,,3.875,,,,7
2025-06-29,2.8017,2.9278,2.7686,2.8997,wait,False,,,,,,,,3.875,,,,7
2025-06-30,2.8997,2.9106,2.7363,2.7769,wait,False,,,,,,,,3.875,,,,7
2025-07-01,2.777,2.8131,2.6594,2.672,wait,False,,,,,,,,3.875,,,,7
2025-07-02,2.6721,2.9615,2.6485,2.8986,wait,False,,,,,,,,3.875,,,,7
2025-07-03,2.8986,3.0897,2.872,3.0224,wait,False,,,,,,,,3.875,,,,7
2025-07-04,3.0225,3.084,2.7,2.8755,wait,False,,,,,,,,3.875,,,,7
2025-07-05,2.8755,2.9356,2.8547,2.8987,wait,False,,,,,,,,3.875,,,,7
2025-07-06,2.8988,2.9686,2.8668,2.9089,wait,False,,,,,,,,3.875,,,,7
2025-07-07,2.909,2.9515,2.802,2.8579,wait,False,,,,,,,,3.875,,,,7
2025-07-08,2.858,2.934,2.8261,2.8947,wait,False,,,,,,,,3.875,,,,7
2025-07-09,2.8947,3.0995,2.8783,3.0726,wait,False,,,,,,,,3.875,,,,7
2025-07-10,3.0729,3.5013,3.0594,3.4909,wait,False,,,,,,,,3.875,,,,7
2025-07-11,3.491,3.5719,3.3,3.3868,wait,False,,,,,,,,3.875,,,,7
2025-07-12,3.3869,3.4745,3.3094,3.4019,wait,False,,,,,,,,3.875,,,,7
2025-07-13,3.402,3.5411,3.3791,3.4899,wait,False,,,,,,,,3.875,,,,7
2025-07-14,3.4899,4.0017,3.4878,3.8892,wait,False,,,,,,,,3.875,,,,7
2025-07-15,3.8892,4.1081,3.81,4.1014,wait,False,,,,,,,,3.875,,,,7
2025-07-16,4.1015,4.1024,3.9211,3.9424,wait,False,,,,,,,,3.875,,,,7
2025-07-17,3.9423,4.0786,3.85,4.0077,wait,False,,,,,,,,3.875,,,,7
2025-07-18,4.0077,4.248,3.6519,3.7819,wait,False,,,,,,,,3.875,,,,7
2025-07-19,3.7817,3.8556,3.6914,3.8346,wait,False,,,,,,,,3.875,,,,7
2025-07-20,3.8348,4.0341,3.8082,3.891,wait,False,,,,,,,,3.875,,,,7
2025-07-21,3.891,4.0948,3.835,3.961,wait,False,,,,,,,,3.875,,,,7
2025-07-22,3.9611,4.0504,3.8028,4.0093,wait,False,,,,,,,,3.875,,,,7
2025-07-23,4.0095,4.0264,3.5842,3.7179,wait,False,,,,,,,,3.875,,,,7
2025-07-24,3.7179,3.8724,3.5125,3.7205,wait,False,,,,,,,,3.875,,,,7
2025-07-25,3.7207,4.0026,3.5889,3.948,wait,False,,,,,,,,3.875,,,,7
2025-07-26,3.9481,4.3449,3.9349,4.1595,wait,False,,,,,,,,3.875,,,,7
2025-07-27,4.1597,4.4289,4.1204,4.326,wait,False,,,,,,,,3.875,,,,7
2025-07-28,4.326,4.4436,3.8818,3.9084,wait,False,,,,,,,,3.875,,,,7
