date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-05-04,1.4016,1.499,1.2961,1.3303,high,FALSE,,,,,,,2,,,,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,,B7,0.42,1.2961,
2023-05-05,1.3303,1.38,1.26,1.3064,high,FALSE,,,,,,,2,,,,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,,B7,0.42,1.26,
2023-05-06,1.3067,1.3752,1.27,1.3297,high,FALSE,,,,,,,2,,,,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,,B7,0.42,1.27,
2023-05-07,1.3299,1.3469,1.22,1.2431,high,FALSE,,,,,,,2,,,,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,,B7,0.42,1.22,
2023-05-08,1.243,1.2439,1.0222,1.1374,wait,TRUE,1,BUY B1,LOW,B1,1.12,1.0222,1.12,2,1.0222,,,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,,B1,1.12,1.0222
2023-05-08,1.243,1.2439,1.0222,1.1374,wait,TRUE,2,ADD B2,LOW,B2,1.04,1.0222,1.04,2,1.0222,,,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,,B2,1.04,1.0222
2023-05-08,1.243,1.2439,1.0222,1.1374,wait,FALSE,,SELL S2,HIGH,B2,1.04,1.1990406,1.1990406,2,,,17.3,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,1.1990406,,,
2023-05-08,1.243,1.2439,1.0222,1.1374,wait,FALSE,,,,,,,2,,21.688515,17.3,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,1.1990406,B1,1.12,1.0222,
2023-05-09,1.1377,1.2158,1.0932,1.1842,wait,TRUE,1,BUY B1,LOW,B1,1.12,1.0932,1.12,2,1.0932,,,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,1.1990406,B1,1.12,1.0932
2023-05-09,1.1377,1.2158,1.0932,1.1842,wait,FALSE,,SELL S1,HIGH,B1,1.12,1.1773764,1.1773764,2,,,7.7,7,1.12,1.04,0.92,0.82,0.7,0.56,0.42,1.1773764,,,
