date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-16,43.017,43.8,39.092,39.461,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,39.092
2020-10-17,39.371,43.235,38.206,41.365,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,38.206
2020-10-18,41.359,41.425,39.428,40.75,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,39.428
2020-10-19,40.82,41.0,35.912,35.98,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,35.912
2020-10-20,36.0,36.403,32.0,32.16,wait,True,1,BUY B1,LOW,B1,33.04,32.0,33.04,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B1,33.04,32.0
2020-10-20,36.0,36.403,32.0,32.16,wait,False,,SELL S,HIGH,,,34.464,34.464,59.0,32.0,,7.7,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,,,
2020-10-20,36.0,36.403,32.0,32.16,wait,False,,,,,,,,59.0,32.0,13.759375,7.7,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B1,33.04,32.0
2020-10-21,32.186,37.145,32.0,35.073,wait,True,1,BUY B1,LOW,B1,33.04,32.0,33.04,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B1,33.04,32.0
2020-10-21,32.186,37.145,32.0,35.073,wait,False,,SELL S,HIGH,,,34.464,34.464,59.0,32.0,,7.7,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,,,
2020-10-21,32.186,37.145,32.0,35.073,wait,False,,,,,,,,59.0,32.0,16.078125,7.7,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B1,33.04,32.0
2020-10-22,35.033,40.379,33.266,37.836,wait,False,,,,,,,,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B7,12.39,33.266
2020-10-23,37.911,42.658,36.998,41.681,wait,False,,,,,,,,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B7,12.39,36.998
2020-10-24,41.681,42.63,38.502,39.437,wait,False,,,,,,,,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B7,12.39,38.502
2020-10-25,39.438,41.0,37.2,37.895,wait,False,,,,,,,,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B7,12.39,37.2
2020-10-26,37.893,39.192,34.855,35.95,wait,False,,,,,,,,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B7,12.39,34.855
2020-10-27,35.968,39.001,34.373,34.869,wait,False,,,,,,,,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B7,12.39,34.373
2020-10-28,34.935,35.67,32.0,32.422,wait,True,1,BUY B1,LOW,B1,33.04,32.0,33.04,59.0,32.0,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B1,33.04,32.0
2020-10-28,34.935,35.67,32.0,32.422,wait,False,,SELL S,HIGH,,,34.464,34.464,59.0,32.0,,7.7,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,,,
2020-10-28,34.935,35.67,32.0,32.422,wait,False,,,,,,,,59.0,32.0,11.46875,7.7,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B1,33.04,32.0
2020-10-29,32.427,33.23,28.124,29.244,wait,True,1,BUY B1,LOW,B1,33.04,28.124,33.04,59.0,28.124,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B1,33.04,28.124
2020-10-29,32.427,33.23,28.124,29.244,wait,True,2,ADD B2,LOW,B2,30.68,28.124,30.68,59.0,28.124,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,34.464,B2,30.68,28.124
2020-10-29,32.427,33.23,28.124,29.244,wait,False,,SELL S,HIGH,,,32.989452,32.989452,59.0,28.124,,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.989452,,,
2020-10-29,32.427,33.23,28.124,29.244,wait,False,,,,,,,,59.0,28.124,18.155312,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.989452,B2,30.68,28.124
2020-10-30,29.178,32.0,27.73,31.087,wait,True,2,BUY B2,LOW,B2,30.68,27.73,30.68,59.0,27.73,,,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.989452,B2,30.68,27.73
2020-10-30,29.178,32.0,27.73,31.087,wait,True,2,,,,,,,59.0,27.73,15.398485,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.989452,B2,30.68,27.73
2020-10-31,31.087,32.938,29.515,29.7,wait,False,,SELL S,HIGH,,,32.52729,32.52729,59.0,27.73,,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,,,
2020-10-31,31.087,32.938,29.515,29.7,wait,False,,,,,,,,59.0,27.73,18.781103,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,B2,30.68,29.515
2020-11-01,29.737,31.124,28.2,30.757,wait,True,2,BUY B2,LOW,B2,30.68,28.2,30.68,59.0,27.73,,,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,B2,30.68,28.2
2020-11-01,29.737,31.124,28.2,30.757,wait,True,2,,,,,,,59.0,27.73,12.239452,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,B2,30.68,28.2
2020-11-02,30.703,34.485,29.13,29.724,wait,False,,SELL S,HIGH,,,32.52729,32.52729,59.0,27.73,,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,,,
2020-11-02,30.703,34.485,29.13,29.724,wait,False,,,,,,,,59.0,27.73,24.359899,17.3,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,B2,30.68,29.13
2020-11-03,29.723,30.075,27.424,28.122,wait,False,,,,,,,,59.0,27.424,,,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,B7,12.39,27.424
2020-11-04,28.142,28.444,26.065,27.686,wait,True,3,BUY B3,LOW,B3,27.14,26.065,27.14,59.0,26.065,,,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,B3,27.14,26.065
2020-11-04,28.142,28.444,26.065,27.686,wait,True,3,,,,,,,59.0,26.065,9.127182,24.4,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.52729,B3,27.14,26.065
2020-11-05,27.752,33.0,25.939,30.995,wait,False,,SELL S,HIGH,,,32.268116,32.268116,59.0,25.939,,24.4,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.268116,,,
2020-11-05,27.752,33.0,25.939,30.995,wait,False,,,,,,,,59.0,25.939,27.221558,24.4,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.268116,B2,30.68,25.939
2020-11-06,30.997,41.0,30.843,38.65,wait,False,,,,,,,,59.0,25.939,,,6,33.04,30.68,27.14,24.19,20.65,16.52,12.39,32.268116,B7,12.39,30.843
2020-11-07,38.555,51.9,38.341,44.529,high,False,,RESTART_+98.5pct,HIGH,,,51.488915,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,,,
2020-11-07,38.555,51.9,38.341,44.529,high,False,,RESTART_+98.5pct,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,38.341
2020-11-08,44.426,54.9,42.606,53.931,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,42.606
2020-11-09,53.95,59.094,49.45,55.113,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,49.45
2020-11-10,55.191,70.825,52.822,66.988,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,52.822
2020-11-11,67.066,69.26,53.295,54.437,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,53.295
2020-11-12,54.521,60.0,50.4,51.794,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,50.4
2020-11-13,51.759,66.888,51.045,63.456,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,51.045
2020-11-14,63.456,68.874,57.794,66.83,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,57.794
2020-11-15,66.855,71.414,58.766,64.256,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,58.766
2020-11-16,64.251,74.5,60.903,72.975,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,60.903
2020-11-17,72.958,80.0,68.515,79.263,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,68.515
2020-11-18,79.262,79.999,67.02,75.15,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,67.02
2020-11-19,75.187,81.445,70.27,76.28,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,70.27
2020-11-20,76.381,82.48,74.36,74.945,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,74.36
2020-11-21,74.968,77.199,67.678,70.487,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,67.678
2020-11-22,70.488,74.918,62.929,68.811,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,62.929
2020-11-23,68.762,74.0,65.47,72.323,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,65.47
2020-11-24,72.398,75.5,66.058,66.782,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,66.058
2020-11-25,66.783,67.588,59.091,61.724,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,59.091
2020-11-26,61.658,65.22,50.0,64.211,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,50.0
2020-11-27,64.333,69.16,56.22,60.802,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,56.22
2020-11-28,60.804,66.426,58.776,63.944,high,False,,,,,,,,59.0,,,,7,33.04,30.68,27.14,24.19,20.65,16.52,12.39,,B7,12.39,58.776
