date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2020-10-08,3.4409,3.9599,3.3228,3.9147,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.3228
2020-10-09,3.9147,4.3252,3.8034,4.2491,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.8034
2020-10-10,4.2427,4.2693,4.0001,4.023,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,4.0001
2020-10-11,4.0205,4.1762,3.9333,4.096,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.9333
2020-10-12,4.0841,4.71,4.054,4.41,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,4.054
2020-10-13,4.4099,4.5636,4.3203,4.4806,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,4.3203
2020-10-14,4.4808,4.4848,4.0125,4.1596,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,4.0125
2020-10-15,4.15,4.2312,3.9985,4.1269,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.9985
2020-10-16,4.1266,4.1582,3.8755,4.0433,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.8755
2020-10-17,4.0462,4.21,3.9673,4.1946,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.9673
2020-10-18,4.1874,4.2461,4.0701,4.1195,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,4.0701
2020-10-19,4.1371,4.1748,3.9926,4.05,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.9926
2020-10-20,4.0568,4.0908,3.6925,3.804,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.6925
2020-10-21,3.8007,4.103,3.7918,3.9585,147.0,3.3228,wait,,,,,,False,,,,,,,,7,82.32,76.44,67.62,60.27,51.45,41.16,30.87,3.7918
