date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2020-10-08,222.98,236.44,221.23,233.95,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,221.23
2020-10-09,233.92,240.18,231.87,237.13,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,231.87
2020-10-10,237.14,246.45,235.73,237.26,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,235.73
2020-10-11,237.27,243.77,236.1,238.97,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,236.1
2020-10-12,238.97,243.99,232.7,239.66,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,232.7
2020-10-13,239.63,255.43,237.42,253.46,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,237.42
2020-10-14,253.37,260.48,249.75,259.07,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,249.75
2020-10-15,259.12,265.2,255.5,262.26,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,255.5
2020-10-16,262.25,266.54,243.51,250.3,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,243.51
2020-10-17,250.3,252.6,241.01,244.66,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,241.01
2020-10-18,244.66,251.01,243.64,249.32,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,243.64
2020-10-19,249.3,252.7,245.0,249.87,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,245.0
2020-10-20,249.82,250.05,237.67,240.74,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,237.67
2020-10-21,240.75,264.11,239.98,258.49,1650.0,221.23,wait,,,,,,False,,,,,,,,7,924.0,858.0,759.0,676.5,577.5,462.0,346.5,239.98
