date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,3.8538,4.1625,3.6333,4.1163,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.6333
2020-10-09,4.1145,4.35,4.0087,4.2541,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.0087
2020-10-10,4.2546,4.489,4.23,4.2606,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.23
2020-10-11,4.2579,4.3355,4.1683,4.245,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.1683
2020-10-12,4.2464,4.4501,4.1899,4.3075,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.1899
2020-10-13,4.3099,4.3464,4.1302,4.2473,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.1302
2020-10-14,4.2515,4.3795,4.0836,4.1829,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.0836
2020-10-15,4.1816,4.1873,4.02,4.099,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.02
2020-10-16,4.099,4.1562,3.8,3.9106,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.8
2020-10-17,3.9132,3.9799,3.8607,3.9663,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.8607
2020-10-18,3.9652,4.125,3.954,4.1068,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.954
2020-10-19,4.107,4.1229,3.9501,3.986,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.9501
2020-10-20,3.9843,4.149,3.8641,3.9034,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.8641
2020-10-21,3.9034,4.26,3.8907,4.1352,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.8907
2020-10-22,4.1329,4.338,4.1234,4.2683,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.1234
2020-10-23,4.2696,4.48,4.185,4.2633,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.185
2020-10-24,4.264,4.43,4.2381,4.3536,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.2381
2020-10-25,4.35,4.4495,4.2588,4.331,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.2588
2020-10-26,4.3315,4.7475,4.2906,4.7031,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.2906
2020-10-27,4.7064,4.95,4.6429,4.6721,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.6429
2020-10-28,4.6723,4.78,4.252,4.357,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.252
2020-10-29,4.3569,4.4115,3.8469,4.0605,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.8469
2020-10-30,4.0605,4.162,3.9153,4.0845,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.9153
2020-10-31,4.0843,4.282,4.0574,4.1854,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.0574
2020-11-01,4.1833,4.225,4.1079,4.2211,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.1079
2020-11-02,4.2211,4.2627,3.96,4.0316,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.96
2020-11-03,4.0272,4.0694,3.8842,4.0362,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.8842
2020-11-04,4.0377,4.1556,3.8915,4.0969,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,3.8915
2020-11-05,4.0988,4.3,4.0105,4.2229,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.0105
2020-11-06,4.2248,4.64,4.202,4.5826,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.202
2020-11-07,4.5837,4.8586,4.08,4.2341,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.08
2020-11-08,4.2311,4.4275,4.13,4.3736,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.13
2020-11-09,4.3733,4.4639,4.2395,4.3463,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.2395
2020-11-10,4.3476,4.5061,4.2998,4.4231,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.2998
2020-11-11,4.423,4.63,4.4168,4.4461,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.4168
2020-11-12,4.446,4.4758,4.3103,4.4042,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.3103
2020-11-13,4.4042,4.5918,4.3694,4.5425,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.3694
2020-11-14,4.5401,4.5549,4.3517,4.4637,high,False,,,,,,,,3.8964,,,,7,2.181984,2.026128,1.792344,1.597524,1.36374,1.090992,0.818244,,B7,0.818244,4.3517
