date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2024-04-03,0.775,1.32,0.703,1.134,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.703
2024-04-04,1.134,1.168,0.907,0.97,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.907
2024-04-05,0.97,1.069,0.861,1.018,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.861
2024-04-06,1.018,1.194,0.962,1.089,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.962
2024-04-07,1.089,1.271,1.059,1.19,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.059
2024-04-08,1.191,1.36,1.07,1.293,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.07
2024-04-09,1.293,1.405,1.192,1.241,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.192
2024-04-10,1.241,1.51,1.223,1.461,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.223
2024-04-11,1.461,1.523,1.35,1.372,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.35
2024-04-12,1.372,1.484,1.08,1.278,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.08
2024-04-13,1.278,1.341,0.904,1.046,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.904
2024-04-14,1.047,1.22,0.986,1.209,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.986
2024-04-15,1.209,1.218,1.021,1.057,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.021
2024-04-16,1.056,1.08,0.891,0.979,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.891
2024-04-17,0.98,1.059,0.904,0.925,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.904
2024-04-18,0.924,0.95,0.819,0.913,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.819
2024-04-19,0.913,1.044,0.816,0.968,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.816
2024-04-20,0.969,1.121,0.948,1.083,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.948
2024-04-21,1.082,1.108,1.025,1.05,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.025
2024-04-22,1.05,1.1,1.026,1.05,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,1.026
2024-04-23,1.05,1.068,0.931,0.939,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.931
2024-04-24,0.938,0.985,0.86,0.874,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.86
2024-04-25,0.874,0.906,0.833,0.871,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.833
2024-04-26,0.871,0.887,0.812,0.824,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.812
2024-04-27,0.824,0.847,0.77,0.84,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.77
2024-04-28,0.841,0.896,0.832,0.849,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.832
2024-04-29,0.848,0.944,0.775,0.926,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.775
2024-04-30,0.926,0.939,0.792,0.814,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.792
2024-05-01,0.814,0.831,0.735,0.798,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.735
2024-05-02,0.799,0.832,0.765,0.798,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.765
2024-05-03,0.797,0.878,0.783,0.852,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.783
2024-05-04,0.852,0.875,0.82,0.828,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.82
2024-05-05,0.828,0.832,0.795,0.812,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.795
2024-05-06,0.813,0.936,0.81,0.892,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.81
2024-05-07,0.892,1.005,0.856,0.92,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.856
2024-05-08,0.92,0.953,0.855,0.874,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.855
2024-05-09,0.874,0.911,0.849,0.893,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.849
2024-05-10,0.894,0.938,0.824,0.847,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.824
2024-05-11,0.847,0.872,0.838,0.842,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.838
2024-05-12,0.841,0.854,0.819,0.83,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.819
2024-05-13,0.83,0.836,0.755,0.768,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.755
2024-05-14,0.767,0.774,0.672,0.693,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.672
2024-05-15,0.694,0.749,0.666,0.734,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.666
2024-05-16,0.735,0.754,0.653,0.671,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.653
2024-05-17,0.672,0.749,0.669,0.719,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.669
2024-05-18,0.72,0.795,0.703,0.754,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.703
2024-05-19,0.753,0.758,0.697,0.713,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.697
2024-05-20,0.713,0.849,0.69,0.832,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.69
2024-05-21,0.833,0.902,0.82,0.886,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.82
2024-05-22,0.886,0.896,0.803,0.853,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.803
2024-05-23,0.853,0.909,0.831,0.866,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.831
2024-05-24,0.866,0.92,0.832,0.851,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.832
2024-05-25,0.852,0.952,0.846,0.912,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.846
2024-05-26,0.913,0.972,0.902,0.921,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.902
2024-05-27,0.922,0.956,0.891,0.921,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.891
2024-05-28,0.921,0.927,0.859,0.894,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.859
2024-05-29,0.893,0.908,0.833,0.837,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.833
2024-05-30,0.837,0.902,0.813,0.871,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.813
2024-05-31,0.872,0.909,0.86,0.878,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.86
2024-06-01,0.879,0.939,0.873,0.91,high,False,,,,,,,,0.913,,,,7,0.51128,0.47476,0.41998,0.37433,0.31955,0.25564,0.19173,,B7,0.19173,0.873
