date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2020-10-08,8.9801,9.6909,8.4016,9.5594,53.0,8.4016,wait,,,,,,False,,,,,,,,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,8.4016
2020-10-09,9.5519,10.5254,9.3701,10.3959,53.0,8.4016,wait,,,,,,False,,,,,,,,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,9.3701
2020-10-10,10.3923,10.92,10.37,10.5198,53.0,8.4016,wait,,,,,,False,,,,,,,,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.37
2020-10-11,10.5168,11.0258,10.15,10.8515,53.0,8.4016,wait,,,,,,False,,,,,,,,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.15
2020-10-12,10.8515,11.8028,10.6807,11.4259,53.0,8.4016,wait,7,BUY B7,B7,11.13,,True,LOW,B7,11.13,10.6807,11.13,,,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.6807
2020-10-12,10.8515,11.8028,10.6807,11.4259,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,40.482765,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.6807
2020-10-13,11.4259,11.5833,10.5221,11.0016,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,37.870168,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.5221
2020-10-14,11.0016,11.3536,10.6201,10.8896,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,35.136165,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.6201
2020-10-15,10.8896,10.9317,10.455,10.7483,53.0,8.4016,wait,7,,,,,True,,,,,,30.114502,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.455
2020-10-16,10.7472,10.8935,10.2694,10.5877,53.0,8.4016,wait,7,,,,,True,,,,,,29.659827,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.2694
2020-10-17,10.5867,10.7149,10.4082,10.6267,53.0,8.4016,wait,7,,,,,True,,,,,,27.534041,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.4082
2020-10-18,10.6254,11.0,10.6,10.9409,53.0,8.4016,wait,7,,,,,True,,,,,,30.927442,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.6
2020-10-19,10.9435,11.2226,10.651,10.9147,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,33.576938,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.651
2020-10-20,10.9116,10.9349,9.7665,9.8589,53.0,8.4016,wait,7,,,,,True,,,,,,30.15259,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,9.7665
2020-10-21,9.8589,11.1372,9.7864,10.7863,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,32.560465,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,9.7864
2020-10-22,10.7805,12.4173,10.7142,11.9539,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,47.796848,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.7142
2020-10-23,11.9551,12.264,11.5784,12.1586,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,45.972196,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.5784
2020-10-24,12.1592,12.95,11.9839,12.7001,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,54.137307,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.9839
2020-10-25,12.7002,12.8574,11.908,12.1481,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,53.035136,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.908
2020-10-26,12.148,12.4472,11.2594,11.7096,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,48.152733,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.2594
2020-10-27,11.7086,12.4774,11.49,11.9224,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,48.512188,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.49
2020-10-28,11.921,12.16,11.15,11.4403,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,44.734336,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.15
2020-10-29,11.4448,11.81,11.0816,11.2772,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,40.568463,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.0816
2020-10-30,11.2743,11.4811,10.72,11.09,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,36.653733,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.72
2020-10-31,11.0947,11.3981,10.9053,11.2277,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,35.665826,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.9053
2020-11-01,11.2259,11.5885,11.0181,11.5722,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,37.932061,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,11.0181
2020-11-02,11.5681,11.685,10.7049,10.7814,53.0,8.4016,wait,7,,B7,11.13,,True,,,,,,39.080651,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,10.7049
2020-11-03,10.7814,10.7814,9.9454,10.3911,53.0,8.4016,wait,7,,,,,True,,,,,,28.325557,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,9.9454
2020-11-04,10.3982,10.675,9.75,10.4713,53.0,8.4016,wait,7,,,,,True,,,,,,27.059132,98.5,7,29.68,27.56,24.38,21.73,18.55,14.84,11.13,9.75
