date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2020-10-15,1.1685,1.2522,1.0792,1.1209,20.597,1.0792,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,1.0792
2020-10-16,1.1222,1.1524,0.812,0.8171,20.597,0.812,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.812
2020-10-17,0.8171,0.8649,0.72,0.8073,20.597,0.72,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.72
2020-10-18,0.8074,0.8753,0.8007,0.8692,20.597,0.72,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.8007
2020-10-19,0.8703,0.871,0.765,0.7993,20.597,0.72,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.765
2020-10-20,0.7993,0.81,0.67,0.6757,20.597,0.67,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.67
2020-10-21,0.6774,0.7475,0.6731,0.7044,20.597,0.67,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.6731
2020-10-22,0.7045,0.7881,0.7042,0.7484,20.597,0.67,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.7042
2020-10-23,0.7479,0.7535,0.6862,0.7271,20.597,0.67,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.6862
2020-10-24,0.7263,0.7585,0.7052,0.7391,20.597,0.67,wait,,,,,,False,,,,,,,,7,11.53432,10.71044,9.47462,8.44477,7.20895,5.76716,4.32537,0.7052
