date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2021-05-11,3.468e-05,3.799e-05,2.78e-05,3.042e-05,8.854e-05,2.78e-05,wait,4,BUY B4,B4,3.63014e-05,,True,LOW,B4,3.63e-05,2.78e-05,3.63e-05,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,2.78e-05
2021-05-11,3.468e-05,3.799e-05,2.78e-05,3.042e-05,8.854e-05,2.78e-05,wait,5,ADD B5,B5,3.0989e-05,,True,LOW,B5,3.099e-05,2.78e-05,3.099e-05,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,2.78e-05
2021-05-11,3.468e-05,3.799e-05,2.78e-05,3.042e-05,8.854e-05,2.78e-05,wait,5,,B4,3.63014e-05,,True,,,,,,36.654676,52.7,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,2.78e-05
2021-05-12,3.04e-05,3.15e-05,1.752e-05,1.821e-05,8.854e-05,1.752e-05,wait,6,ADD B6,B6,2.47912e-05,,True,LOW,B6,2.479e-05,1.752e-05,2.479e-05,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.752e-05
2021-05-12,3.04e-05,3.15e-05,1.752e-05,1.821e-05,8.854e-05,1.752e-05,wait,7,ADD B7,B7,1.85934e-05,,True,LOW,B7,1.859e-05,1.752e-05,1.859e-05,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.752e-05
2021-05-12,3.04e-05,3.15e-05,1.752e-05,1.821e-05,8.854e-05,1.752e-05,wait,7,,B5,3.0989e-05,,True,,,,,,79.794521,98.5,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.752e-05
2021-05-13,1.817e-05,2.357e-05,1.53e-05,2.102e-05,8.854e-05,1.53e-05,wait,7,,B7,1.85934e-05,,True,,,,,,54.052288,98.5,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.53e-05
2021-05-14,2.103e-05,2.224e-05,1.816e-05,1.84e-05,8.854e-05,1.53e-05,wait,7,,B7,1.85934e-05,,True,,,,,,45.359477,98.5,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.816e-05
2021-05-15,1.841e-05,1.897e-05,1.501e-05,1.553e-05,8.854e-05,1.501e-05,wait,7,,B7,1.85934e-05,,True,,,,,,26.382412,98.5,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.501e-05
2021-05-16,1.552e-05,1.962e-05,1.237e-05,1.784e-05,8.854e-05,1.237e-05,wait,7,,B7,1.85934e-05,,True,,,,,,58.609539,98.5,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.237e-05
2021-05-17,1.783e-05,1.808e-05,1.408e-05,1.651e-05,8.854e-05,1.237e-05,wait,7,,,,,True,,,,,,46.160065,98.5,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.408e-05
2021-05-18,1.65e-05,1.8e-05,1.517e-05,1.56e-05,8.854e-05,1.237e-05,wait,7,,,,,True,,,,,,45.513339,98.5,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,1.517e-05
2021-05-19,1.562e-05,1.58e-05,6.3e-06,9.07e-06,8.854e-05,,high,,RESTART_+98.5pct,,,,False,HIGH,,,1.251e-05,,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,
2021-05-19,1.562e-05,1.58e-05,6.3e-06,9.07e-06,8.854e-05,6.3e-06,wait,,RESTART_+98.5pct,,,,False,,,,,,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,6.3e-06
2021-05-20,9.07e-06,1.219e-05,8e-06,9.64e-06,8.854e-05,6.3e-06,wait,,,,,,False,,,,,,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,8e-06
2021-05-21,9.64e-06,1.035e-05,6.55e-06,8.2e-06,8.854e-05,6.3e-06,wait,,,,,,False,,,,,,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,6.55e-06
2021-05-22,8.21e-06,9.83e-06,6.72e-06,8.42e-06,8.854e-05,6.3e-06,wait,,,,,,False,,,,,,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,6.72e-06
2021-05-23,8.42e-06,9.65e-06,6.94e-06,8.09e-06,8.854e-05,6.3e-06,wait,,,,,,False,,,,,,,,7,4.95824e-05,4.60408e-05,4.07284e-05,3.63014e-05,3.0989e-05,2.47912e-05,1.85934e-05,6.94e-06
