date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2020-10-08,2.3001,2.4569,2.0123,2.3638,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.0123
2020-10-09,2.3686,2.63,2.303,2.5314,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.303
2020-10-10,2.5274,2.6056,2.3873,2.3999,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.3873
2020-10-11,2.3988,2.4607,2.3401,2.4227,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.3401
2020-10-12,2.4228,2.7044,2.4132,2.5836,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.4132
2020-10-13,2.5826,2.5867,2.336,2.4062,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.336
2020-10-14,2.4061,2.4424,2.2331,2.3107,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.2331
2020-10-15,2.3108,2.3485,2.1932,2.2682,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.1932
2020-10-16,2.2648,2.269,2.1071,2.1398,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.1071
2020-10-17,2.1374,2.2462,2.1107,2.2053,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.1107
2020-10-18,2.2031,2.2595,2.1763,2.215,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.1763
2020-10-19,2.2137,2.2148,2.05,2.0592,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,2.05
2020-10-20,2.0552,2.108,1.8401,1.885,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.8401
2020-10-21,1.8873,2.11,1.8415,1.8887,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.8415
2020-10-22,1.8868,2.09,1.8481,1.9582,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.8481
2020-10-23,1.9566,1.9902,1.85,1.959,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.85
2020-10-24,1.9652,1.973,1.88,1.9142,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.88
2020-10-25,1.9175,1.9244,1.76,1.7926,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.76
2020-10-26,1.7925,1.8685,1.6121,1.6799,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.6121
2020-10-27,1.6771,1.75,1.5906,1.711,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.5906
2020-10-28,1.7084,1.7255,1.4508,1.518,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.4508
2020-10-29,1.5166,1.5754,1.4148,1.4327,high,False,,,,,,,,2.4083,,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B7,0.505743,1.4148
2020-10-30,1.4328,1.4726,1.3163,1.4381,wait,True,1,BUY B1,LOW,B1,1.348648,1.3163,1.348648,2.4083,1.3163,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,,B1,1.348648,1.3163
2020-10-30,1.4328,1.4726,1.3163,1.4381,wait,False,,SELL S,HIGH,,,1.4176551,1.4176551,2.4083,1.3163,,7.7,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.4176551,,,
2020-10-30,1.4328,1.4726,1.3163,1.4381,wait,False,,,,,,,,2.4083,1.3163,11.874193,7.7,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.4176551,B1,1.348648,1.3163
2020-10-31,1.4383,1.558,1.4266,1.5497,wait,False,,,,,,,,2.4083,1.3163,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.4176551,B7,0.505743,1.4266
2020-11-01,1.5497,1.6463,1.5137,1.608,wait,False,,,,,,,,2.4083,1.3163,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.4176551,B7,0.505743,1.5137
2020-11-02,1.6076,1.6432,1.4621,1.4738,wait,False,,,,,,,,2.4083,1.3163,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.4176551,B7,0.505743,1.4621
2020-11-03,1.4729,1.484,1.4062,1.4118,wait,False,,,,,,,,2.4083,1.3163,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.4176551,B7,0.505743,1.4062
2020-11-04,1.4123,1.4144,1.2733,1.3912,wait,True,1,BUY B1,LOW,B1,1.348648,1.2733,1.348648,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.4176551,B1,1.348648,1.2733
2020-11-04,1.4123,1.4144,1.2733,1.3912,wait,False,,SELL S,HIGH,,,1.3713441,1.3713441,2.4083,1.2733,,7.7,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,,,
2020-11-04,1.4123,1.4144,1.2733,1.3912,wait,False,,,,,,,,2.4083,1.2733,11.081442,7.7,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B1,1.348648,1.2733
2020-11-05,1.3895,1.4928,1.3,1.4007,wait,True,1,BUY B1,LOW,B1,1.348648,1.3,1.348648,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B1,1.348648,1.3
2020-11-05,1.3895,1.4928,1.3,1.4007,wait,False,,SELL S,HIGH,,,1.3713441,1.3713441,2.4083,1.2733,,7.7,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,,,
2020-11-05,1.3895,1.4928,1.3,1.4007,wait,False,,,,,,,,2.4083,1.2733,17.238671,7.7,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B1,1.348648,1.3
2020-11-06,1.403,1.9482,1.3946,1.9,wait,False,,,,,,,,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B7,0.505743,1.3946
2020-11-07,1.9069,2.4975,1.8276,2.0215,wait,False,,,,,,,,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B7,0.505743,1.8276
2020-11-08,2.0264,2.2825,1.9608,2.1558,wait,False,,,,,,,,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B7,0.505743,1.9608
2020-11-09,2.1515,2.1991,1.9456,2.0299,wait,False,,,,,,,,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B7,0.505743,1.9456
2020-11-10,2.0383,2.3257,2.008,2.2661,wait,False,,,,,,,,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B7,0.505743,2.008
2020-11-11,2.2665,2.3,1.9673,2.0,wait,False,,,,,,,,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B7,0.505743,1.9673
2020-11-12,2.0,2.06,1.825,1.9089,wait,False,,,,,,,,2.4083,1.2733,,,7,1.348648,1.252316,1.107818,0.987403,0.842905,0.674324,0.505743,1.3713441,B7,0.505743,1.825
