date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2023-05-04,1.4016,1.499,1.2961,1.3303,5.3687,1.2961,wait,,,B7,1.127427,,False,,,,,,,,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.2961
2023-05-05,1.3303,1.38,1.26,1.3064,5.3687,1.26,wait,,,B7,1.127427,,False,,,,,,,,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.26
2023-05-06,1.3067,1.3752,1.27,1.3297,5.3687,1.26,wait,,,B7,1.127427,,False,,,,,,,,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.27
2023-05-07,1.3299,1.3469,1.22,1.2431,5.3687,1.22,wait,,,B7,1.127427,,False,,,,,,,,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.22
2023-05-08,1.243,1.2439,1.0222,1.1374,5.3687,1.0222,wait,7,BUY B7,B7,1.127427,,True,LOW,B7,1.127427,1.0222,1.127427,,,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.0222
2023-05-08,1.243,1.2439,1.0222,1.1374,5.3687,1.0222,wait,7,,B7,1.127427,,True,,,,,,21.688515,98.5,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.0222
2023-05-09,1.1377,1.2158,1.0932,1.1842,5.3687,1.0222,wait,7,,B7,1.127427,,True,,,,,,18.939542,98.5,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.0932
2023-05-10,1.1842,1.2448,1.0988,1.1787,5.3687,1.0222,wait,7,,B7,1.127427,,True,,,,,,21.77656,98.5,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.0988
2023-05-11,1.1788,1.1819,1.0336,1.0736,5.3687,1.0222,wait,7,,B7,1.127427,,True,,,,,,15.623166,98.5,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.0336
2023-05-12,1.0737,1.1229,1.013,1.1152,5.3687,1.013,wait,7,,,,,True,,,,,,10.848963,98.5,7,3.006472,2.791724,2.469602,2.201167,1.879045,1.503236,1.127427,1.013
