date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2024-04-12,623.6,646.3,500.0,537.5,1249.0,500.0,wait,3,BUY B3,B3,574.54,,True,LOW,B3,574.54,500.0,574.54,,,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,500.0
2024-04-12,623.6,646.3,500.0,537.5,1249.0,500.0,wait,4,ADD B4,B4,512.09,,True,LOW,B4,512.09,500.0,512.09,,,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,500.0
2024-04-12,623.6,646.3,500.0,537.5,1249.0,500.0,wait,4,,B3,574.54,,True,,,,,,29.26,37.4,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,500.0
2024-04-13,537.4,571.5,400.0,509.2,1249.0,400.0,wait,5,ADD B5,B5,437.15,,True,LOW,B5,437.15,400.0,437.15,,,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,400.0
2024-04-13,537.4,571.5,400.0,509.2,1249.0,400.0,wait,5,,B4,512.09,,True,,,,,,42.875,52.7,7,699.44,649.48,574.54,512.09,437.15,349.72,262.29,400.0
2024-04-14,509.2,623.9,470.1,586.5,1249.0,400.0,wait,,SELL S,,,610.8,False,HIGH,,,610.8,610.8,,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,
2024-04-14,509.2,623.9,470.1,586.5,1249.0,400.0,wait,,,B3,574.54,610.8,False,,,,,,55.975,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,470.1
2024-04-15,586.5,594.4,519.0,524.9,1249.0,400.0,wait,3,BUY B3,B3,574.54,610.8,True,LOW,B3,574.54,519.0,574.54,,,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,519.0
2024-04-15,586.5,594.4,519.0,524.9,1249.0,400.0,wait,,SELL S,,,586.5,False,HIGH,,,497.6,586.5,,24.4,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,
2024-04-15,586.5,594.4,519.0,524.9,1249.0,400.0,wait,,,B3,574.54,586.5,False,,,,,,48.6,24.4,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,519.0
2024-04-16,524.8,535.2,444.5,500.8,1249.0,400.0,wait,4,BUY B4,B4,512.09,586.5,True,LOW,B4,512.09,444.5,512.09,,,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,444.5
2024-04-16,524.8,535.2,444.5,500.8,1249.0,400.0,wait,4,,B4,512.09,586.5,True,,,,,,33.8,37.4,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,444.5
2024-04-17,500.9,511.9,436.3,455.0,1249.0,400.0,wait,5,ADD B5,B5,437.15,586.5,True,LOW,B5,437.15,436.3,437.15,,,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,436.3
2024-04-17,500.9,511.9,436.3,455.0,1249.0,400.0,wait,5,,B5,437.15,586.5,True,,,,,,27.975,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,436.3
2024-04-18,455.0,475.0,434.6,466.2,1249.0,400.0,wait,5,,B5,437.15,586.5,True,,,,,,18.75,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,434.6
2024-04-19,466.6,477.5,426.3,442.0,1249.0,400.0,wait,5,,B5,437.15,586.5,True,,,,,,19.375,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,426.3
2024-04-20,441.8,493.1,433.4,485.1,1249.0,400.0,wait,5,,B5,437.15,586.5,True,,,,,,23.275,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,433.4
2024-04-21,485.2,489.7,457.2,474.8,1249.0,400.0,wait,5,,B7,262.29,586.5,True,,,,,,22.425,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,457.2
2024-04-22,474.7,531.1,466.0,520.9,1249.0,400.0,wait,5,,B4,512.09,586.5,True,,,,,,32.775,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,466.0
2024-04-23,520.8,532.7,493.4,500.1,1249.0,400.0,wait,5,,B4,512.09,586.5,True,,,,,,33.175,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,493.4
2024-04-24,499.5,506.9,443.3,452.6,1249.0,400.0,wait,5,,B7,262.29,586.5,True,,,,,,26.725,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,443.3
2024-04-25,452.7,472.7,439.9,460.8,1249.0,400.0,wait,5,,B7,262.29,586.5,True,,,,,,18.175,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,439.9
2024-04-26,460.8,461.7,425.4,427.0,1249.0,400.0,wait,5,,B5,437.15,586.5,True,,,,,,15.425,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,425.4
2024-04-27,427.0,429.9,410.0,421.9,1249.0,400.0,wait,5,,B7,262.29,586.5,True,,,,,,7.475,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,410.0
2024-04-28,421.9,438.4,419.4,423.3,1249.0,400.0,wait,5,,B5,437.15,586.5,True,,,,,,9.6,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,419.4
2024-04-29,423.3,430.5,381.3,401.3,1249.0,381.3,wait,5,,B7,262.29,586.5,True,,,,,,12.903226,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,381.3
2024-04-30,401.3,406.5,365.3,388.6,1249.0,365.3,wait,5,,B7,262.29,586.5,True,,,,,,11.278401,52.7,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,365.3
2024-05-01,388.7,392.6,340.3,380.9,1249.0,340.3,wait,6,ADD B6,B6,349.72,586.5,True,LOW,B6,349.72,340.3,349.72,,,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,340.3
2024-05-01,388.7,392.6,340.3,380.9,1249.0,340.3,wait,6,,B6,349.72,586.5,True,,,,,,15.368792,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,340.3
2024-05-02,380.8,415.3,365.6,404.3,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,22.039377,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,365.6
2024-05-03,404.3,435.9,392.7,425.6,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,28.092859,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,392.7
2024-05-04,425.6,470.0,423.1,446.6,1249.0,340.3,wait,6,,B5,437.15,586.5,True,,,,,,38.113429,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,423.1
2024-05-05,446.6,478.8,429.9,455.4,1249.0,340.3,wait,6,,B5,437.15,586.5,True,,,,,,40.699383,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,429.9
2024-05-06,455.2,488.4,438.4,441.8,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,43.520423,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,438.4
2024-05-07,442.0,466.1,418.1,419.1,1249.0,340.3,wait,6,,B5,437.15,586.5,True,,,,,,36.967382,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,418.1
2024-05-08,418.9,428.6,375.8,391.8,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,25.947693,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,375.8
2024-05-09,391.8,408.5,381.0,393.0,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,20.04114,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,381.0
2024-05-10,393.1,405.0,366.3,376.5,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,19.012636,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,366.3
2024-05-11,376.6,384.6,370.0,374.7,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,13.017925,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,370.0
2024-05-12,374.6,382.3,359.4,362.9,1249.0,340.3,wait,6,,B7,262.29,586.5,True,,,,,,12.342051,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,359.4
2024-05-13,362.9,376.2,339.7,357.3,1249.0,339.7,wait,6,,B6,349.72,586.5,True,,,,,,10.744775,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,339.7
2024-05-14,357.3,359.3,333.5,343.9,1249.0,333.5,wait,6,,B6,349.72,586.5,True,,,,,,7.736132,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,333.5
2024-05-15,343.9,399.0,340.8,389.7,1249.0,333.5,wait,6,,B6,349.72,586.5,True,,,,,,19.64018,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,340.8
2024-05-16,389.6,406.1,374.8,382.2,1249.0,333.5,wait,6,,B7,262.29,586.5,True,,,,,,21.769115,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,374.8
2024-05-17,382.2,399.0,377.0,380.7,1249.0,333.5,wait,6,,B7,262.29,586.5,True,,,,,,19.64018,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,377.0
2024-05-18,380.7,391.0,375.8,382.4,1249.0,333.5,wait,6,,B7,262.29,586.5,True,,,,,,17.241379,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,375.8
2024-05-19,382.4,394.4,358.8,365.4,1249.0,333.5,wait,6,,B7,262.29,586.5,True,,,,,,18.26087,79.9,5,699.44,649.48,574.54,512.09,437.15,349.72,262.29,358.8
