date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2020-10-08,0.07231,0.0735,0.0701,0.07311,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.0701
2020-10-09,0.07317,0.07583,0.07235,0.07502,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07235
2020-10-10,0.07502,0.07846,0.07499,0.0773,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07499
2020-10-11,0.07731,0.07881,0.07675,0.07713,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07675
2020-10-12,0.07713,0.07917,0.07593,0.07761,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07593
2020-10-13,0.07757,0.07761,0.0754,0.07635,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.0754
2020-10-14,0.07635,0.0768,0.07355,0.07398,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07355
2020-10-15,0.07398,0.07441,0.07182,0.07408,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07182
2020-10-16,0.07408,0.07919,0.07191,0.07909,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07191
2020-10-17,0.07909,0.084,0.0775,0.08152,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.0775
2020-10-18,0.08152,0.08212,0.07914,0.07942,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07914
2020-10-19,0.0794,0.08734,0.07938,0.0852,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.07938
2020-10-20,0.0852,0.08683,0.08041,0.08075,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.08041
2020-10-21,0.08071,0.08641,0.08035,0.08358,0.7985,0.0701,wait,,,,,,False,,,,,,,,7,0.44716,0.41522,0.36731,0.327385,0.279475,0.22358,0.167685,0.08035
